,the scores,sucess rate,one digit scores,two digits scores,three digits scores,four and more digits scores,Moving average
0,0,0,100,0,0,0,0
1,0,0,100,0,0,0,0
2,0,0,100,0,0,0,0
3,0,0,100,0,0,0,0
4,0,0,100,0,0,0,0
5,0,0,100,0,0,0,0
6,0,0,100,0,0,0,0
7,0,0,100,0,0,0,0.010204082
8,0,0,100,0,0,0,0.010204082
9,0,0,100,0,0,0,0.020408163
10,0,0,100,0,0,0,0.020408163
11,0,0,100,0,0,0,0.020408163
12,0,0,100,0,0,0,0.020408163
13,0,0,100,0,0,0,0.020408163
14,0,0,100,0,0,0,0.020408163
15,0,0,100,0,0,0,0.020408163
16,0,0,100,0,0,0,0.020408163
17,0,0,100,0,0,0,0.020408163
18,0,0,100,0,0,0,0.020408163
19,0,0,100,0,0,0,0.020408163
20,0,0,100,0,0,0,0.020408163
21,0,0,100,0,0,0,0.020408163
22,0,0,100,0,0,0,0.020408163
23,0,0,100,0,0,0,0.020408163
24,0,0,100,0,0,0,0.020408163
25,0,0,100,0,0,0,0.020408163
26,0,0,100,0,0,0,0.020408163
27,0,0,100,0,0,0,0.020408163
28,0,0,100,0,0,0,0.020408163
29,0,0,100,0,0,0,0.020408163
30,0,0,100,0,0,0,0.020408163
31,0,0,100,0,0,0,0.020408163
32,0,0,100,0,0,0,0.020408163
33,0,0,100,0,0,0,0.020408163
34,0,0,100,0,0,0,0.020408163
35,0,0,100,0,0,0,0.020408163
36,0,0,100,0,0,0,0.020408163
37,0,0,100,0,0,0,0.020408163
38,0,0,100,0,0,0,0.020408163
39,0,0,100,0,0,0,0.020408163
40,0,0,100,0,0,0,0.020408163
41,0,0,100,0,0,0,0.020408163
42,0,0,100,0,0,0,0.030612245
43,0,0,100,0,0,0,0.030612245
44,0,0,100,0,0,0,0.030612245
45,0,0,100,0,0,0,0.030612245
46,0,0,100,0,0,0,0.030612245
47,0,0,100,0,0,0,0.030612245
48,0,0,100,0,0,0,0
49,0,0,100,0,0,0,0
50,0,0,100,0,0,0,0
51,0,0,100,0,0,0,0
52,0,0,100,0,0,0,0
53,0,0,100,0,0,0,0
54,0,0,100,0,0,0,0.01
55,0,0,100,0,0,0,0.01
56,0,0,100,0,0,0,0.02
57,0,0,100,0,0,0,0.02
58,0,0,100,0,0,0,0.02
59,0,0,100,0,0,0,0.02
60,0,0,100,0,0,0,0.02
61,0,0,100,0,0,0,0.02
62,0,0,100,0,0,0,0.02
63,0,0,100,0,0,0,0.02
64,0,0,100,0,0,0,0.02
65,0,0,100,0,0,0,0.02
66,0,0,100,0,0,0,0.02
67,0,0,100,0,0,0,0.02
68,0,0,100,0,0,0,0.02
69,0,0,100,0,0,0,0.02
70,0,0,100,0,0,0,0.02
71,0,0,100,0,0,0,0.02
72,0,0,100,0,0,0,0.02
73,0,0,100,0,0,0,0.02
74,0,0,100,0,0,0,0.02
75,0,0,100,0,0,0,0.02
76,0,0,100,0,0,0,0.02
77,0,0,100,0,0,0,0.02
78,0,0,100,0,0,0,0.02
79,0,0,100,0,0,0,0.02
80,0,0,100,0,0,0,0.02
