,the scores,sucess rate,one digit scores,two digits scores,three digits scores,four and more digits scores
0,0,0.0,100.0,0.0,0.0,0.0
1,0,0.0,100.0,0.0,0.0,0.0
2,0,0.0,100.0,0.0,0.0,0.0
3,0,0.0,100.0,0.0,0.0,0.0
4,0,0.0,100.0,0.0,0.0,0.0
5,0,0.0,100.0,0.0,0.0,0.0
6,0,0.0,100.0,0.0,0.0,0.0
7,0,0.0,100.0,0.0,0.0,0.0
8,0,0.0,100.0,0.0,0.0,0.0
9,0,0.0,100.0,0.0,0.0,0.0
10,0,0.0,100.0,0.0,0.0,0.0
11,0,0.0,100.0,0.0,0.0,0.0
12,0,0.0,100.0,0.0,0.0,0.0
13,0,0.0,100.0,0.0,0.0,0.0
14,0,0.0,100.0,0.0,0.0,0.0
15,0,0.0,100.0,0.0,0.0,0.0
16,0,0.0,100.0,0.0,0.0,0.0
17,0,0.0,100.0,0.0,0.0,0.0
18,0,0.0,100.0,0.0,0.0,0.0
19,0,0.0,100.0,0.0,0.0,0.0
20,0,0.0,100.0,0.0,0.0,0.0
21,0,0.0,100.0,0.0,0.0,0.0
22,0,0.0,100.0,0.0,0.0,0.0
23,0,0.0,100.0,0.0,0.0,0.0
24,0,0.0,100.0,0.0,0.0,0.0
25,0,0.0,100.0,0.0,0.0,0.0
26,0,0.0,100.0,0.0,0.0,0.0
27,0,0.0,100.0,0.0,0.0,0.0
28,0,0.0,100.0,0.0,0.0,0.0
29,0,0.0,100.0,0.0,0.0,0.0
30,0,0.0,100.0,0.0,0.0,0.0
31,0,0.0,100.0,0.0,0.0,0.0
32,0,0.0,100.0,0.0,0.0,0.0
33,0,0.0,100.0,0.0,0.0,0.0
34,0,0.0,100.0,0.0,0.0,0.0
35,0,0.0,100.0,0.0,0.0,0.0
36,0,0.0,100.0,0.0,0.0,0.0
37,0,0.0,100.0,0.0,0.0,0.0
38,0,0.0,100.0,0.0,0.0,0.0
39,0,0.0,100.0,0.0,0.0,0.0
40,0,0.0,100.0,0.0,0.0,0.0
41,0,0.0,100.0,0.0,0.0,0.0
42,1,0.022727272727272728,100.0,0.0,0.0,0.0
43,0,0.022222222222222223,100.0,0.0,0.0,0.0
44,0,0.021739130434782608,100.0,0.0,0.0,0.0
45,0,0.02127659574468085,100.0,0.0,0.0,0.0
46,0,0.020833333333333332,100.0,0.0,0.0,0.0
47,0,0.02040816326530612,100.0,0.0,0.0,0.0
48,0,0.02,100.0,0.0,0.0,0.0
49,0,0.0196078431372549,100.0,0.0,0.0,0.0
50,0,0.019230769230769232,100.0,0.0,0.0,0.0
51,0,0.018867924528301886,100.0,0.0,0.0,0.0
52,1,0.03636363636363636,100.0,0.0,0.0,0.0
53,0,0.03571428571428571,100.0,0.0,0.0,0.0
54,0,0.03508771929824561,100.0,0.0,0.0,0.0
55,0,0.034482758620689655,100.0,0.0,0.0,0.0
56,0,0.03389830508474576,100.0,0.0,0.0,0.0
57,0,0.03333333333333333,100.0,0.0,0.0,0.0
58,1,0.04838709677419355,100.0,0.0,0.0,0.0
59,0,0.047619047619047616,100.0,0.0,0.0,0.0
60,0,0.046875,100.0,0.0,0.0,0.0
61,0,0.046153846153846156,100.0,0.0,0.0,0.0
62,0,0.045454545454545456,100.0,0.0,0.0,0.0
63,0,0.04477611940298507,100.0,0.0,0.0,0.0
64,0,0.04411764705882353,100.0,0.0,0.0,0.0
65,0,0.043478260869565216,100.0,0.0,0.0,0.0
66,0,0.04285714285714286,100.0,0.0,0.0,0.0
67,0,0.04225352112676056,100.0,0.0,0.0,0.0
68,0,0.041666666666666664,100.0,0.0,0.0,0.0
69,0,0.0410958904109589,100.0,0.0,0.0,0.0
70,0,0.04054054054054054,100.0,0.0,0.0,0.0
71,0,0.04,100.0,0.0,0.0,0.0
72,0,0.039473684210526314,100.0,0.0,0.0,0.0
73,0,0.03896103896103896,100.0,0.0,0.0,0.0
74,0,0.038461538461538464,100.0,0.0,0.0,0.0
75,1,0.05,100.0,0.0,0.0,0.0
76,0,0.04938271604938271,100.0,0.0,0.0,0.0
