,the scores,sucess rate,one digit scores,two digits scores,three digits scores,four and more digits scores
0,0,0,100,0,0,0
1,0,0,100,0,0,0
2,0,0,100,0,0,0
3,0,0,100,0,0,0
4,0,0,100,0,0,0
5,0,0,100,0,0,0
6,0,0,100,0,0,0
7,0,0,100,0,0,0
8,0,0,100,0,0,0
9,0,0,100,0,0,0
10,0,0,100,0,0,0
11,0,0,100,0,0,0
12,0,0,100,0,0,0
13,0,0,100,0,0,0
14,0,0,100,0,0,0
15,0,0,100,0,0,0
16,0,0,100,0,0,0
17,0,0,100,0,0,0
18,0,0,100,0,0,0
19,0,0,100,0,0,0
20,0,0,100,0,0,0
21,0,0,100,0,0,0
22,0,0,100,0,0,0
23,0,0,100,0,0,0
24,0,0,100,0,0,0
25,0,0,100,0,0,0
26,0,0,100,0,0,0
27,0,0,100,0,0,0
28,0,0,100,0,0,0
29,0,0,100,0,0,0
30,0,0,100,0,0,0
31,0,0,100,0,0,0
32,0,0,100,0,0,0
33,0,0,100,0,0,0
34,0,0,100,0,0,0
35,0,0,100,0,0,0
36,0,0,100,0,0,0
37,0,0,100,0,0,0
38,0,0,100,0,0,0
39,0,0,100,0,0,0
40,0,0,100,0,0,0
41,0,0,100,0,0,0
42,0,0,100,0,0,0
43,0,0,100,0,0,0
44,1,0.02173913,100,0,0,0
45,0,0.021276596,100,0,0,0
46,0,0.020833333,100,0,0,0
47,0,0.020408163,100,0,0,0
48,0,0.02,100,0,0,0
49,0,0.019607843,100,0,0,0
50,0,0.019230769,100,0,0,0
51,0,0.018867925,100,0,0,0
52,0,0.018518519,100,0,0,0
53,0,0.018181818,100,0,0,0
54,0,0.017857143,100,0,0,0
55,0,0.01754386,100,0,0,0
56,0,0.017241379,100,0,0,0
57,0,0.016949153,100,0,0,0
58,0,0.016666667,100,0,0,0
59,0,0.016393443,100,0,0,0
60,0,0.016129032,100,0,0,0
61,0,0.015873016,100,0,0,0
62,0,0.015625,100,0,0,0
63,0,0.015384615,100,0,0,0
64,0,0.015151515,100,0,0,0
65,0,0.014925373,100,0,0,0
66,0,0.014705882,100,0,0,0
67,0,0.014492754,100,0,0,0
68,0,0.014285714,100,0,0,0
69,0,0.014084507,100,0,0,0
70,0,0.013888889,100,0,0,0
71,0,0.01369863,100,0,0,0
72,0,0.013513514,100,0,0,0
73,0,0.013333333,100,0,0,0
74,0,0.013157895,100,0,0,0
75,0,0.012987013,100,0,0,0
76,0,0.012820513,100,0,0,0
77,0,0.012658228,100,0,0,0
78,0,0.0125,100,0,0,0
79,0,0.012345679,100,0,0,0
80,0,0.012195122,100,0,0,0
81,0,0.012048193,100,0,0,0
82,0,0.011904762,100,0,0,0
83,0,0.011764706,100,0,0,0
84,0,0.011627907,100,0,0,0
85,0,0.011494253,100,0,0,0
86,0,0.011363636,100,0,0,0
87,0,0.011235955,100,0,0,0
88,0,0.011111111,100,0,0,0
89,0,0.010989011,100,0,0,0
90,0,0.010869565,100,0,0,0
91,0,0.010752688,100,0,0,0
92,1,0.021052632,100,0,0,0
93,1,0.030927835,100,0,0,0
94,1,0.04040404,100,0,0,0
95,0,0.04,100,0,0,0
96,0,0.03960396,100,0,0,0
97,0,0.039215686,100,0,0,0
98,0,0.038834951,100,0,0,0
99,0,0.038461538,100,0,0,0
100,0,0.038095238,100,0,0,0
101,0,0.037735849,100,0,0,0
102,0,0.037383178,100,0,0,0
103,0,0.037037037,100,0,0,0
104,1,0.045454545,100,0,0,0
105,0,0.045045045,100,0,0,0
106,0,0.044642857,100,0,0,0
107,1,0.052631579,100,0,0,0
108,0,0.052173913,100,0,0,0
109,2,0.06779661,100,0,0,0
110,0,0.067226891,100,0,0,0
111,2,0.081967213,100,0,0,0
112,1,0.088709677,100,0,0,0
113,0,0.088,100,0,0,0
114,0,0.087301587,100,0,0,0
115,1,0.09375,100,0,0,0
116,0,0.093023256,100,0,0,0
117,0,0.092307692,100,0,0,0
118,0,0.091603053,100,0,0,0
119,1,0.097744361,100,0,0,0
120,0,0.097014925,100,0,0,0
121,0,0.096296296,100,0,0,0
122,0,0.095588235,100,0,0,0
123,0,0.094890511,100,0,0,0
124,0,0.094202899,100,0,0,0
125,0,0.09352518,100,0,0,0
126,0,0.092857143,100,0,0,0
127,0,0.092198582,100,0,0,0
128,0,0.091549296,100,0,0,0
129,0,0.090909091,100,0,0,0
130,0,0.090277778,100,0,0,0
131,0,0.089655172,100,0,0,0
132,0,0.089041096,100,0,0,0
133,0,0.088435374,100,0,0,0
134,1,0.093959732,100,0,0,0
135,0,0.093333333,100,0,0,0
136,0,0.092715232,100,0,0,0
137,0,0.092105263,100,0,0,0
138,0,0.091503268,100,0,0,0
139,1,0.096774194,100,0,0,0
140,0,0.096153846,100,0,0,0
141,0,0.095541401,100,0,0,0
142,1,0.100628931,100,0,0,0
143,0,0.1,100,0,0,0
144,0,0.099378882,100,0,0,0
145,0,0.098765432,100,0,0,0
146,0,0.098159509,100,0,0,0
147,2,0.108433735,100,0,0,0
148,0,0.107784431,100,0,0,0
149,0,0.107142857,100,0,0,0
150,0,0.106508876,100,0,0,0
151,0,0.105882353,100,0,0,0
152,1,0.110465116,100,0,0,0
153,0,0.10982659,100,0,0,0
154,0,0.109195402,100,0,0,0
155,0,0.108571429,100,0,0,0
156,0,0.107954545,100,0,0,0
157,1,0.112359551,100,0,0,0
158,0,0.111731844,100,0,0,0
159,0,0.111111111,100,0,0,0
160,0,0.110497238,100,0,0,0
161,0,0.10989011,100,0,0,0
162,0,0.109289617,100,0,0,0
163,1,0.113513514,100,0,0,0
164,2,0.122340426,100,0,0,0
165,0,0.121693122,100,0,0,0
166,0,0.121052632,100,0,0,0
167,0,0.120418848,100,0,0,0
168,0,0.119791667,100,0,0,0
169,0,0.119170984,100,0,0,0
170,1,0.123076923,100,0,0,0
171,0,0.12244898,100,0,0,0
172,0,0.121827411,100,0,0,0
173,0,0.121212121,100,0,0,0
174,0,0.120603015,100,0,0,0
175,0,0.12,100,0,0,0
176,0,0.119402985,100,0,0,0
177,0,0.118811881,100,0,0,0
178,0,0.118226601,100,0,0,0
179,0,0.117647059,100,0,0,0
180,0,0.117073171,100,0,0,0
181,0,0.116504854,100,0,0,0
182,1,0.120192308,100,0,0,0
183,0,0.119617225,100,0,0,0
184,0,0.119047619,100,0,0,0
185,1,0.122641509,100,0,0,0
186,0,0.122065728,100,0,0,0
187,0,0.121495327,100,0,0,0
188,1,0.125,100,0,0,0
189,0,0.124423963,100,0,0,0
190,0,0.123853211,100,0,0,0
191,0,0.123287671,100,0,0,0
192,0,0.122727273,100,0,0,0
193,1,0.126126126,100,0,0,0
194,0,0.125560538,100,0,0,0
195,0,0.125,100,0,0,0
196,0,0.124444444,100,0,0,0
197,0,0.123893805,100,0,0,0
198,0,0.123348018,100,0,0,0
199,1,0.126637555,100,0,0,0
200,0,0.126086957,100,0,0,0
201,0,0.125541126,100,0,0,0
202,0,0.125,100,0,0,0
203,1,0.128205128,100,0,0,0
204,0,0.127659574,100,0,0,0
205,1,0.130801688,100,0,0,0
206,0,0.130252101,100,0,0,0
207,0,0.129707113,100,0,0,0
208,2,0.136363636,100,0,0,0
209,2,0.142857143,100,0,0,0
210,1,0.145748988,100,0,0,0
211,0,0.14516129,100,0,0,0
212,1,0.148,100,0,0,0
213,1,0.150793651,100,0,0,0
214,0,0.150197628,100,0,0,0
215,0,0.149606299,100,0,0,0
216,1,0.15234375,100,0,0,0
217,0,0.151750973,100,0,0,0
218,0,0.151162791,100,0,0,0
219,0,0.150579151,100,0,0,0
220,0,0.15,100,0,0,0
221,0,0.149425287,100,0,0,0
222,0,0.148854962,100,0,0,0
223,0,0.148288973,100,0,0,0
224,0,0.147727273,100,0,0,0
225,1,0.15037594,100,0,0,0
226,1,0.152985075,100,0,0,0
227,1,0.155555556,100,0,0,0
228,0,0.15498155,100,0,0,0
229,0,0.154411765,100,0,0,0
230,1,0.156934307,100,0,0,0
231,0,0.156363636,100,0,0,0
232,0,0.155797101,100,0,0,0
233,0,0.155234657,100,0,0,0
234,0,0.154676259,100,0,0,0
235,0,0.154121864,100,0,0,0
236,0,0.153571429,100,0,0,0
237,0,0.153024911,100,0,0,0
238,1,0.155477032,100,0,0,0
239,0,0.154929577,100,0,0,0
240,0,0.154385965,100,0,0,0
241,0,0.153846154,100,0,0,0
242,0,0.153310105,100,0,0,0
243,0,0.152777778,100,0,0,0
244,1,0.155172414,100,0,0,0
245,0,0.154639175,100,0,0,0
246,0,0.154109589,100,0,0,0
247,0,0.153583618,100,0,0,0
248,0,0.153061224,100,0,0,0
249,1,0.155405405,100,0,0,0
250,0,0.154882155,100,0,0,0
251,0,0.154362416,100,0,0,0
252,0,0.153846154,100,0,0,0
253,0,0.153333333,100,0,0,0
254,0,0.15282392,100,0,0,0
255,0,0.152317881,100,0,0,0
256,0,0.151815182,100,0,0,0
257,1,0.154098361,100,0,0,0
258,0,0.153594771,100,0,0,0
259,1,0.155844156,100,0,0,0
260,0,0.155339806,100,0,0,0
261,0,0.15483871,100,0,0,0
262,0,0.154340836,100,0,0,0
263,0,0.153846154,100,0,0,0
264,1,0.156050955,100,0,0,0
265,0,0.155555556,100,0,0,0
266,0,0.155063291,100,0,0,0
267,0,0.154574132,100,0,0,0
268,0,0.15408805,100,0,0,0
269,1,0.15625,100,0,0,0
270,0,0.15576324,100,0,0,0
271,0,0.155279503,100,0,0,0
272,1,0.157407407,100,0,0,0
273,0,0.156923077,100,0,0,0
274,0,0.156441718,100,0,0,0
275,0,0.155963303,100,0,0,0
276,0,0.155487805,100,0,0,0
277,1,0.157575758,100,0,0,0
278,0,0.157099698,100,0,0,0
279,0,0.156626506,100,0,0,0
280,0,0.156156156,100,0,0,0
281,0,0.155688623,100,0,0,0
282,0,0.155223881,100,0,0,0
283,1,0.15727003,100,0,0,0
284,2,0.161764706,100,0,0,0
285,1,0.16374269,100,0,0,0
286,3,0.170520231,100,0,0,0
287,1,0.172413793,100,0,0,0
288,0,0.171919771,100,0,0,0
289,0,0.171428571,100,0,0,0
290,0,0.170940171,100,0,0,0
291,0,0.170454545,100,0,0,0
292,0,0.169971671,100,0,0,0
293,0,0.169491525,100,0,0,0
294,2,0.173669468,100,0,0,0
295,0,0.173184358,100,0,0,0
296,0,0.17270195,100,0,0,0
297,0,0.172222222,100,0,0,0
298,0,0.171745152,100,0,0,0
299,0,0.171270718,100,0,0,0
300,2,0.175342466,100,0,0,0
301,0,0.174863388,100,0,0,0
302,0,0.174386921,100,0,0,0
303,0,0.173913043,100,0,0,0
304,0,0.173441734,100,0,0,0
305,0,0.172972973,100,0,0,0
306,1,0.174731183,100,0,0,0
307,1,0.176470588,100,0,0,0
308,0,0.176,100,0,0,0
309,0,0.175531915,100,0,0,0
310,0,0.175066313,100,0,0,0
311,0,0.174603175,100,0,0,0
